symbol,earning_date,expirt_date,time_difference,pre_earning_iv,post_earning_iv,iv_change,post_earning_vol
META,2025-04-30,2025-05-02,2,0.8898326,0.39649042,-0.49334217999999996,0.4747012420364989
AVGO,2025-06-05,2025-07-18,43,0.5045826,0.40381455,-0.10076805,0.3524212771196654
AVGO,2025-06-05,2025-07-11,36,0.50098157,0.39319456,-0.10778700999999996,0.3524212771196654
AVGO,2025-06-05,2025-07-03,28,0.5248461,0.39600214,-0.12884395999999998,0.3524212771196654
AVGO,2025-06-05,2025-06-27,22,0.5305223,0.3883728,-0.14214949999999998,0.3524212771196654
AVGO,2025-06-05,2025-06-20,15,0.55890334,0.37940073,-0.17950260999999995,0.3584810571093703
AVGO,2025-06-05,2025-06-13,8,0.75451905,0.38770142,-0.36681762999999995,0.4370692930444744
AVGO,2025-06-05,2025-06-06,1,1.1267134,0.13965704,-0.9870563600000001,0.5263734841596756
TSLA,2025-04-22,2025-05-09,17,,0.64264274,,0.6164168836922597
WMT,2025-05-15,2025-06-27,43,0.32776552,0.23291783,-0.09484768999999998,0.16426747064938974
WMT,2025-05-15,2025-06-20,36,0.26587647,0.2378006,-0.028075869999999975,0.15689342239479528
WMT,2025-05-15,2025-06-13,29,0.27466545,0.2346268,-0.04003864999999998,0.15186828342377323
WMT,2025-05-15,2025-06-06,22,0.26905027,0.23181921,-0.03723105999999998,0.1580729271399289
WMT,2025-05-15,2025-05-30,15,0.25781992,0.22657023,-0.03124968999999997,0.1646734763927396
WMT,2025-05-15,2025-05-23,8,0.2788158,0.23584749,-0.04296831000000001,0.16583404716227418
WMT,2025-05-15,2025-05-16,1,0.32910827,0.29688203,-0.03222623999999996,0.273839561983613
V,2025-04-29,2025-05-16,17,0.30713582,0.1933064,-0.11382942000000001,0.10934668167608835
V,2025-04-29,2025-05-09,10,0.3524845,0.19495434,-0.15753015999999997,0.11878135398258842
V,2025-04-29,2025-05-02,3,0.47522497,0.18909502,-0.28612995,0.17347147796624604
LLY,2025-05-01,2025-06-20,50,0.376761,0.34313095,-0.03363005000000002,0.48290420148175683
LLY,2025-05-01,2025-06-06,36,0.42983052,0.35866424,-0.07116627999999997,0.5300734811262195
LLY,2025-05-01,2025-05-30,29,0.3388738,0.34320724,0.004333440000000022,0.5761018221254571
LLY,2025-05-01,2025-05-23,22,0.47076946,0.33115292,-0.13961653999999996,0.6188907329970887
LLY,2025-05-01,2025-05-16,15,0.45966116,0.3445195,-0.11514166000000003,0.7383334740251833
LLY,2025-05-01,2025-05-09,8,0.43616286,0.33325863,-0.10290422999999999,0.8166711693678964
LLY,2025-05-01,2025-05-02,1,0.47730014,0.34461105,-0.13268909,1.8018097968028974
ORCL,2025-06-11,2025-07-25,44,0.40027454,0.32782656,-0.07244798000000002,0.8429798680418101
ORCL,2025-06-11,2025-07-18,37,0.41119975,0.31653515,-0.09466459999999999,0.8429798680418101
ORCL,2025-06-11,2025-07-11,30,0.526555,0.33075622,-0.19579878,0.8429798680418101
ORCL,2025-06-11,2025-07-03,22,0.5542037,0.31085894,-0.24334476,0.8429798680418101
ORCL,2025-06-11,2025-06-27,16,0.5152636,0.3096993,-0.20556430000000003,0.8429798680418101
ORCL,2025-06-11,2025-06-20,9,0.6156044,0.32422552,-0.29137888000000006,0.9077846402345731
ORCL,2025-06-11,2025-06-13,2,1.0566454,0.40625593,-0.6503894700000001,1.049953027273926
MA,2025-05-01,2025-06-20,50,0.239418,0.24591818,0.006500179999999994,0.2495711570818139
MA,2025-05-01,2025-05-30,29,0.2533339,0.2346268,-0.018707100000000004,0.170899510280504
MA,2025-05-01,2025-05-23,22,0.25650766,0.21759816,-0.038909500000000014,0.17356558974068165
MA,2025-05-01,2025-05-16,15,0.27130857,0.22870645,-0.04260212000000002,0.15019871075798127
MA,2025-05-01,2025-05-09,8,0.24097438,0.19428296,-0.046691419999999983,0.1517706168097552
MA,2025-05-01,2025-05-02,1,0.34107104,0.1429529,-0.19811814,0.288339953905012
XOM,2025-05-02,2025-06-20,49,0.26087165,0.2570875,-0.003784149999999986,0.2104181698832437
XOM,2025-05-02,2025-06-06,35,0.30737996,0.3068917,-0.0004882600000000181,0.20326414230064796
XOM,2025-05-02,2025-05-30,28,0.2551344,0.2507399,-0.004394499999999968,0.18954457673507952
XOM,2025-05-02,2025-05-23,21,0.26306888,0.2570875,-0.005981379999999981,0.2034042683475055
XOM,2025-05-02,2025-05-16,14,0.2894358,0.275642,-0.013793800000000023,0.20869466502519643
XOM,2025-05-02,2025-05-09,7,0.33716482,0.32715517,-0.010009649999999981,0.2549769993255304
COST,2025-05-29,2025-07-18,50,0.27715263,0.24526207,-0.03189056000000001,0.24800934302609143
COST,2025-05-29,2025-06-27,29,0.24510948,0.24163051,-0.003478969999999998,0.24800934302609143
COST,2025-05-29,2025-06-20,22,0.29152626,0.22292341,-0.06860284999999999,0.23357697935975136
COST,2025-05-29,2025-06-13,15,0.3114693,0.22539532,-0.08607398,0.268721574216831
COST,2025-05-29,2025-06-06,8,0.3535221,0.22153488,-0.13198722000000002,0.34395825685408415
COST,2025-05-29,2025-05-30,1,0.50964844,0.1477136,-0.36193484,0.3933704504861161
HD,2025-05-20,2025-07-18,59,0.2222673,0.24033353,0.01806622999999999,0.17989364446798503
HD,2025-05-20,2025-06-27,38,0.22830972,0.23859404,0.010284320000000013,0.17989364446798503
HD,2025-05-20,2025-06-20,31,0.2272111,0.22229782,-0.004913279999999992,0.1626371578386536
HD,2025-05-20,2025-06-13,24,0.24774922,0.22888954,-0.01885967999999999,0.1724319277380919
HD,2025-05-20,2025-06-06,17,0.24567404,0.23114783,-0.014526210000000012,0.14360296268262726
HD,2025-05-20,2025-05-30,10,0.26404545,0.23999783,-0.02404762000000002,0.15960578911999168
HD,2025-05-20,2025-05-23,3,0.31897655,0.24353784,-0.07543871000000002,0.08390069431719627
PLTR,2025-05-05,2025-06-20,46,0.7999288,0.61194235,-0.18798645000000003,0.6444888525560838
PLTR,2025-05-05,2025-06-13,39,0.7697777,0.5986368,-0.17114090000000004,0.6762670774906175
PLTR,2025-05-05,2025-06-06,32,0.85608053,0.60400784,-0.25207269,0.7322221668765441
PLTR,2025-05-05,2025-05-30,25,0.97412133,0.59302163,-0.38109970000000004,0.7256305375870615
PLTR,2025-05-05,2025-05-23,18,1.0003712,0.604252,-0.3961192,0.7600248340812595
PLTR,2025-05-05,2025-05-16,11,1.0756882,0.5986368,-0.4770514000000001,0.9064328437851168
PLTR,2025-05-05,2025-05-09,4,1.5703146,0.5498092,-1.0205053999999998,1.1771848790308168
NVO,2025-05-07,2025-06-20,44,0.49756363,0.5231981,0.02563447000000002,0.4151712203195989
NVO,2025-05-07,2025-06-13,37,0.5131885,0.50830567,-0.004882830000000005,0.40558749488052714
NVO,2025-05-07,2025-06-06,30,0.5495651,0.5107471,-0.03881800000000002,0.4082042419979222
NVO,2025-05-07,2025-05-30,23,0.50415534,0.51294434,0.008789000000000047,0.4383603408583345
NVO,2025-05-07,2025-05-23,16,0.5258837,0.5356492,0.009765500000000094,0.4299428356196182
NVO,2025-05-07,2025-05-16,9,0.54248506,0.5991251,0.05664004,0.4609869048330044
NVO,2025-05-07,2025-05-09,2,0.48242706,0.5410202,0.05859313999999993,0.5260457074096134
KO,2025-04-29,2025-05-16,17,0.21070126,0.1840902,-0.026611059999999992,0.2149953906107208
KO,2025-04-29,2025-05-09,10,0.19922675,0.21826954,0.019042790000000004,0.16192016511399707
KO,2025-04-29,2025-05-02,3,0.22559369,0.20703918,-0.018554510000000024,0.1831572504762991
CSCO,2025-05-14,2025-06-27,44,0.37427384,0.26392338,-0.11035046000000004,0.21532750595578376
CSCO,2025-05-14,2025-06-20,37,0.28784892,0.24414818,-0.043700740000000016,0.21574834457383824
CSCO,2025-05-14,2025-06-13,30,0.30835652,0.20557435,-0.10278217000000003,0.2231293728862469
CSCO,2025-05-14,2025-06-06,23,0.4545953,0.25342545,-0.20116984999999998,0.22260758289569985
CSCO,2025-05-14,2025-05-30,16,0.37451798,0.2231523,-0.15136567999999997,0.2464524505547077
CSCO,2025-05-14,2025-05-23,9,0.44141182,0.22998817,-0.21142365000000002,0.2978343591304566
CSCO,2025-05-14,2025-05-16,2,0.6718783,0.24219508,-0.42968322000000003,0.5163169566964179
GE,2025-04-22,2025-05-09,17,,0.30225307,,0.24722399045229634
CRM,2025-05-28,2025-07-18,51,0.414282,0.31140825,-0.10287374999999999,0.25797645667918945
CRM,2025-05-28,2025-07-03,36,0.46271288,0.30805135,-0.15466153,0.25797645667918945
CRM,2025-05-28,2025-06-27,30,0.4648491,0.30939412,-0.15545498000000002,0.25797645667918945
CRM,2025-05-28,2025-06-20,23,0.5034229,0.31372756,-0.18969534,0.26026348359656876
CRM,2025-05-28,2025-06-13,16,0.52734846,0.32184517,-0.20550329,0.2725553890238557
CRM,2025-05-28,2025-06-06,9,0.6561314,0.32324895,-0.33288245000000005,0.2985007337331583
CRM,2025-05-28,2025-05-30,2,1.0241748,0.37451798,-0.6496568199999999,0.2620012274765602
BABA,2025-05-15,2025-06-27,43,0.41345802,0.36377588,-0.049682139999999986,0.3636383538553735
BABA,2025-05-15,2025-06-20,36,0.40430284,0.3775697,-0.02673313999999999,0.3705922595667691
BABA,2025-05-15,2025-06-13,29,0.41370216,0.39832145,-0.015380709999999964,0.38673724976807156
BABA,2025-05-15,2025-06-06,22,0.42383388,0.39502558,-0.02880830000000001,0.3947114051439372
BABA,2025-05-15,2025-05-30,15,0.41565526,0.37793592,-0.037719340000000046,0.39256703314819763
BABA,2025-05-15,2025-05-23,8,0.4372615,0.3784242,-0.05883730000000004,0.4794357901807098
BABA,2025-05-15,2025-05-16,1,0.43897045,0.16797706,-0.27099339,0.843898964462469
CVX,2025-05-02,2025-06-20,49,0.26087165,0.24256128,-0.01831037000000002,0.183120057398501
CVX,2025-05-02,2025-06-06,35,0.27429926,0.24317163,-0.03112762999999999,0.1926911200430379
CVX,2025-05-02,2025-05-30,28,0.27112547,0.24268335,-0.028442119999999987,0.18351629886506007
CVX,2025-05-02,2025-05-23,21,0.2800365,0.25122818,-0.02880832,0.1836325936362429
CVX,2025-05-02,2025-05-16,14,0.32593447,0.29566133,-0.030273139999999976,0.1844421890318868
CVX,2025-05-02,2025-05-09,7,0.36035797,0.29590547,-0.06445250000000002,0.2128318881281112
TM,2025-05-08,2025-06-20,43,0.3026803,0.28876445,-0.013915850000000007,0.29006048109774796
TM,2025-05-08,2025-05-16,8,0.44617254,0.29822478,-0.14794775999999998,0.4315307387093031
LIN,2025-05-01,2025-06-20,50,0.24839008,0.21860522,-0.029784860000000024,0.15115889911177885
LIN,2025-05-01,2025-05-16,15,0.2199785,0.2689282,0.04894970000000001,0.17394641604117583
DIS,2025-05-07,2025-06-20,44,0.29480687,0.28455305,-0.010253820000000025,0.3498750508731289
DIS,2025-05-07,2025-06-13,37,0.2973703,0.3606021,0.0632318,0.36787711253941274
DIS,2025-05-07,2025-06-06,30,0.2954172,0.31958687,0.024169670000000032,0.39803535055573885
DIS,2025-05-07,2025-05-30,23,0.28784892,0.29370824,0.005859320000000001,0.4462028165647569
DIS,2025-05-07,2025-05-23,16,0.3044503,0.28150132,-0.022948980000000008,0.4967583825826733
DIS,2025-05-07,2025-05-16,9,0.31348342,0.2824779,-0.03100552000000001,0.5421583418235475
DIS,2025-05-07,2025-05-09,2,0.28858134,0.23828886,-0.05029248000000003,0.7859345509285462
INTU,2025-05-22,2025-07-18,57,0.33576104,0.27963978,-0.056121260000000006,0.32455481517940654
INTU,2025-05-22,2025-06-27,36,0.36667505,0.22840127,-0.13827378,0.32455481517940654
INTU,2025-05-22,2025-06-20,29,0.3648745,0.27463493,-0.09023956999999999,0.3324570900055313
INTU,2025-05-22,2025-06-13,22,0.4362239,0.2770153,-0.15920859999999998,0.35818488681281857
INTU,2025-05-22,2025-06-06,15,0.41495335,0.27362788,-0.14132547,0.3938197845525736
INTU,2025-05-22,2025-05-30,8,0.5268602,0.29004616,-0.23681404,0.5103937565311691
INTU,2025-05-22,2025-05-23,1,0.91394126,0.16187361,-0.75206765,0.772858390414741
AZN,2025-04-29,2025-05-23,24,0.23438266,0.3581607,0.12377804,0.2971613506084114
AZN,2025-04-29,2025-05-16,17,0.28906962,0.25098404,-0.03808558000000001,0.3424358418226812
AZN,2025-04-29,2025-05-09,10,0.32886413,0.31641307,-0.012451059999999958,0.35004060983168483
AZN,2025-04-29,2025-05-02,3,0.34766278,0.39746696,0.049804179999999976,0.33985683711568493
HSBC,2025-04-29,2025-05-30,31,0.21826954,0.5554244,0.33715486000000006,0.19459540677569057
HSBC,2025-04-29,2025-05-09,10,0.27735096,0.34326828,0.06591732,0.25525861568758484
HSBC,2025-04-29,2025-05-02,3,0.41699803,0.30078825,-0.11620978000000004,0.39894184936857563
SHEL,2025-05-02,2025-06-20,49,0.2353592,0.21900195,-0.01635724999999999,0.17679953424493824
SHEL,2025-05-02,2025-05-30,28,0.22949989,0.22217575,-0.007324140000000007,0.1764496672162001
SHEL,2025-05-02,2025-05-23,21,0.23218541,0.21045712,-0.02172829000000001,0.19097033328047316
SHEL,2025-05-02,2025-05-16,14,0.26221442,0.2524489,-0.009765520000000028,0.21757780223522244
SHEL,2025-05-02,2025-05-09,7,0.30713582,0.28125718,-0.02587864000000001,0.2760808660118275
MCD,2025-05-01,2025-06-20,50,0.24927509,0.1934895,-0.055785589999999996,0.14360380481585816
MCD,2025-05-01,2025-05-30,29,0.238533,0.21100642,-0.027526579999999995,0.15606080154254642
MCD,2025-05-01,2025-05-23,22,0.28864238,0.2091754,-0.07946697999999996,0.17008967002827335
MCD,2025-05-01,2025-05-16,15,0.30469444,0.20716125,-0.09753319000000002,0.19182639771862148
MCD,2025-05-01,2025-05-09,8,0.24256128,0.19519848,-0.04736279999999998,0.17478591980537378
MCD,2025-05-01,2025-05-02,1,0.25806406,0.26074958,0.002685519999999997,0.1527689294203578
UBER,2025-05-07,2025-06-20,44,0.3913635,0.3830628,-0.008300699999999994,0.32777307765828967
UBER,2025-05-07,2025-06-13,37,0.3980773,0.46509323,0.06701593,0.34543182097677705
UBER,2025-05-07,2025-06-06,30,0.3613345,0.37769178,0.016357279999999974,0.37022410114223797
UBER,2025-05-07,2025-05-30,23,0.38892213,0.37061176,-0.018310369999999965,0.4110929624050021
UBER,2025-05-07,2025-05-23,16,0.39917594,0.37427384,-0.024902099999999983,0.41837773152013746
UBER,2025-05-07,2025-05-16,9,0.40894145,0.3977111,-0.01123035,0.47974084183617277
UBER,2025-05-07,2025-05-09,2,0.45801324,0.3925842,-0.06542904,0.26014026010187774
ACN,2025-06-20,2025-07-25,35,0.2793041,0.2529982,-0.026305899999999993,1.1699608916979063
ACN,2025-06-20,2025-07-18,28,0.2529982,0.22534955,-0.027648649999999997,1.1699608916979063
ACN,2025-06-20,2025-07-11,21,0.3236762,0.25971198,-0.06396422000000002,1.1699608916979063
ACN,2025-06-20,2025-06-27,7,0.27979237,0.22534955,-0.05444282,1.1699608916979063
CAT,2025-04-30,2025-05-16,16,0.32154,0.3466862,0.025146200000000007,0.270600674915289
CAT,2025-04-30,2025-05-09,9,0.33045104,0.40234974,0.07189870000000004,0.18986958757107383
CAT,2025-04-30,2025-05-02,2,0.32691103,0.5499313,0.22302027000000002,0.19610927078830556
RY,2025-05-29,2025-07-18,50,0.17444673,0.20899229,0.03454556,0.1580212721511136
RY,2025-05-29,2025-06-20,22,0.15943223,0.18701985,0.02758761999999998,0.16320365052685365
BKNG,2025-04-29,2025-06-06,38,0.3702112,0.31716076,-0.05305044000000003,0.19402535945487356
BKNG,2025-04-29,2025-05-30,31,0.31569213,0.31169435,-0.003997780000000006,0.20390452207357532
BKNG,2025-04-29,2025-05-16,17,0.44766787,0.33915228,-0.10851559000000005,0.2346931274499972
BKNG,2025-04-29,2025-05-09,10,0.2636182,0.35845062,0.09483241999999997,0.25955591200140016
BKNG,2025-04-29,2025-05-02,3,0.6974823,0.27144587,-0.42603643,0.27249953095674917
QCOM,2025-04-30,2025-05-16,16,0.4952443,0.39392695,-0.10131735000000003,0.5265396822442794
QCOM,2025-04-30,2025-05-09,9,0.52026844,0.39502558,-0.12524286000000007,0.6282597747046188
QCOM,2025-04-30,2025-05-02,2,0.8332536,0.39649042,-0.43676318000000003,1.0744499753276155
ARM,2025-05-07,2025-06-20,44,0.60303134,0.5445602,-0.05847113999999998,0.4862733065662528
ARM,2025-05-07,2025-06-13,37,0.599003,0.51685053,-0.08215246999999992,0.5030173202055434
ARM,2025-05-07,2025-06-06,30,0.6022989,0.54919887,-0.053100029999999965,0.5210565879024467
ARM,2025-05-07,2025-05-30,23,0.61902237,0.56738716,-0.05163521000000004,0.5805500798177504
ARM,2025-05-07,2025-05-23,16,0.68896794,0.5471237,-0.14184423999999995,0.5516000008053334
ARM,2025-05-07,2025-05-16,9,0.7851584,0.5754437,-0.20971470000000003,0.6558466848189496
ARM,2025-05-07,2025-05-09,2,1.154301,0.57812923,-0.57617177,0.6416510251999987
SPGI,2025-04-29,2025-05-23,24,0.2521437,0.27695426,0.02481055999999998,0.1866571463992656
SPGI,2025-04-29,2025-05-16,17,0.2674634,0.28311875,0.015655349999999957,0.1722543740941992
SPGI,2025-04-29,2025-05-02,3,0.30042204,0.36035797,0.059935930000000026,0.18453900639028573
ADBE,2025-06-12,2025-07-25,43,0.41867647,0.307441,-0.11123547,0.5037507913420366
ADBE,2025-06-12,2025-07-18,36,0.43353838,0.27866322,-0.15487516,0.5037507913420366
ADBE,2025-06-12,2025-07-11,29,0.46014944,0.31354445,-0.14660499000000005,0.5037507913420366
ADBE,2025-06-12,2025-07-03,21,0.48254913,0.27643546,-0.20611366999999997,0.5037507913420366
ADBE,2025-06-12,2025-06-27,15,0.52716535,0.2794872,-0.24767814999999999,0.5037507913420366
ADBE,2025-06-12,2025-06-20,8,0.717349,0.27179682,-0.44555218,0.5377676744950338
ADBE,2025-06-12,2025-06-13,1,1.2548865,0.1975178,-1.0573687,0.6362332152840418
AMGN,2025-05-01,2025-06-20,50,0.35428503,0.26020026,-0.09408476999999998,0.26892032336692445
AMGN,2025-05-01,2025-06-06,36,0.32874206,0.23529817,-0.09344389,0.29950429452568267
AMGN,2025-05-01,2025-05-23,22,0.3556583,0.26813477,-0.08752352999999996,0.3282656298136233
AMGN,2025-05-01,2025-05-16,15,0.40796492,0.26087165,-0.14709327,0.38377235833164314
AMGN,2025-05-01,2025-05-09,8,0.47620153,0.26319095,-0.21301058,0.2818415367163726
AMGN,2025-05-01,2025-05-02,1,0.800295,0.2417068,-0.5585882,0.17720910468095624
MUFG,2025-05-15,2025-06-20,36,0.36524072,0.43750563,0.07226490999999996,0.23536855743770238
MUFG,2025-05-15,2025-05-16,1,0.80468947,1.5156274,0.71093793,0.15243034337529054
HON,2025-04-29,2025-05-16,17,0.24182887,0.24402611,0.002197239999999989,0.2995297432470001
HON,2025-04-29,2025-05-09,10,0.25403577,0.298591,0.04455523,0.336509407612496
HON,2025-04-29,2025-05-02,3,0.2705151,0.37378556,0.10327046000000001,0.4084223208603404
SONY,2025-05-14,2025-06-20,37,0.3261786,0.2929758,-0.03320279999999998,0.3087276880882983
SONY,2025-05-14,2025-06-13,30,0.34375656,0.31690136,-0.026855199999999968,0.28456945791369165
SONY,2025-05-14,2025-06-06,23,0.34570968,0.29883513,-0.046874550000000015,0.2930695264739225
SONY,2025-05-14,2025-05-23,9,0.36231107,0.35254553,-0.009765540000000017,0.35636770753268016
SONY,2025-05-14,2025-05-16,2,0.48633325,0.5664106,0.08007734999999999,0.1729957376153383
AMAT,2025-05-15,2025-06-20,36,0.43591872,0.3483952,-0.08752351999999997,0.31983248925314095
AMAT,2025-05-15,2025-06-13,29,0.41773042,0.35047036,-0.06726006000000001,0.31615409515366427
AMAT,2025-05-15,2025-06-06,22,0.48206085,0.3466862,-0.13537464999999999,0.32102946827977275
AMAT,2025-05-15,2025-05-30,15,0.4945119,0.34107104,-0.15344086,0.31975941273933894
AMAT,2025-05-15,2025-05-23,8,0.6084024,0.32862,-0.2797824,0.32051428975463414
AMAT,2025-05-15,2025-05-16,1,0.88989365,0.106454246,-0.783439404,0.6449758297812338
SHOP,2025-05-08,2025-06-20,43,0.507085,0.5190478,0.01196279999999994,0.5827921736129168
SHOP,2025-05-08,2025-06-13,36,0.5185595,0.5131885,-0.005370999999999904,0.6200064568945342
SHOP,2025-05-08,2025-06-06,29,0.5581099,0.5043995,-0.05371040000000005,0.6276207064956018
SHOP,2025-05-08,2025-05-30,22,0.52734846,0.51477534,-0.012573119999999993,0.6825542206629212
SHOP,2025-05-08,2025-05-23,15,0.58398855,0.5351609,-0.04882765,0.7759676149983042
SHOP,2025-05-08,2025-05-16,8,0.5722699,0.551274,-0.020995899999999956,0.9359673849882574
SHOP,2025-05-08,2025-05-09,1,0.52734846,0.19727366,-0.3300748,0.20995546891206385
SYK,2025-05-01,2025-06-20,50,0.35065347,0.2629468,-0.08770667000000004,0.14882858581542666
SYK,2025-05-01,2025-05-16,15,0.44794253,0.30451134,-0.14343119,0.15182621129107438
SPOT,2025-04-29,2025-05-30,31,0.32504946,0.45783013,0.13278067,0.4759755658498355
SPOT,2025-04-29,2025-05-16,17,0.47876498,0.49103293,0.012267949999999972,0.5229174018460951
SPOT,2025-04-29,2025-05-09,10,0.5025074,0.5222826,0.019775199999999993,0.5872522225015254
SPOT,2025-04-29,2025-05-02,3,0.6178627,0.5047657,-0.113097,0.8497922195985224
PDD,2025-05-27,2025-07-18,52,0.42517665,0.43506426,0.009887609999999991,0.8094158324120287
PDD,2025-05-27,2025-06-27,31,0.51172364,0.41455662,-0.09716702000000005,0.8094158324120287
PDD,2025-05-27,2025-06-20,24,0.42529872,0.39990833,-0.02539039000000004,0.8344772300869924
PDD,2025-05-27,2025-06-13,17,0.43530837,0.39868766,-0.03662071,0.9401123899777956
PDD,2025-05-27,2025-06-06,10,0.44898012,0.39404902,-0.054931099999999955,1.1452228093627799
PDD,2025-05-27,2025-05-30,3,0.51514155,0.4340877,-0.08105384999999993,1.7536519277506846
DHR,2025-04-22,2025-05-23,31,0.3850159,0.38635868,0.0013427799999999879,0.41033078207068013
PFE,2025-04-29,2025-05-16,17,0.2929758,0.1982502,-0.09472560000000002,0.39254731664078113
PFE,2025-04-29,2025-05-09,10,0.3183662,0.25781992,-0.06054628000000001,0.37018359463847395
PFE,2025-04-29,2025-05-02,3,0.37110004,0.27735096,-0.09374908000000004,0.36524460392641267
ETN,2025-05-02,2025-06-20,49,0.3333807,0.37872934,0.04534864000000005,0.24275008914565682
ETN,2025-05-02,2025-06-13,42,0.3775697,0.33838552,-0.03918418000000001,0.21856826167409787
ETN,2025-05-02,2025-06-06,35,0.32727724,0.3107979,-0.01647934000000001,0.2135477332143862
ETN,2025-05-02,2025-05-30,28,0.4144956,0.3690859,-0.0454097,0.2242859518014625
ETN,2025-05-02,2025-05-23,21,0.35114175,0.34943277,-0.001708979999999971,0.2235086839270147
ETN,2025-05-02,2025-05-16,14,0.36298245,0.3733583,0.010375849999999964,0.23241428583360027
ETN,2025-05-02,2025-05-09,7,0.30139858,0.35608554,0.05468695999999995,0.14438845166004297
DE,2025-05-15,2025-06-27,43,0.24372095,0.29230443,0.04858348000000001,0.2276664667259335
DE,2025-05-15,2025-06-20,36,0.2779613,0.2669751,-0.010986200000000002,0.22674867117832442
DE,2025-05-15,2025-06-13,29,0.31665722,0.2728039,-0.04385332000000003,0.22633662953684192
DE,2025-05-15,2025-06-06,22,0.28333235,0.25534803,-0.027984320000000007,0.24177815463793398
DE,2025-05-15,2025-05-30,15,0.2816234,0.25806406,-0.02355934000000004,0.2744957571348058
DE,2025-05-15,2025-05-23,8,0.2948679,0.25482923,-0.04003867,0.34330895000520206
DE,2025-05-15,2025-05-16,1,0.28955787,0.27539787,-0.014160000000000006,0.09195943279961014
TJX,2025-05-21,2025-07-18,58,0.27814442,0.25659922,-0.021545199999999987,0.19340572679592474
TJX,2025-05-21,2025-06-27,37,0.22657023,0.22400679,-0.00256344,0.19340572679592474
TJX,2025-05-21,2025-06-20,30,0.2811351,0.22705851,-0.054076590000000035,0.19340572679592474
TJX,2025-05-21,2025-06-13,23,0.2487868,0.2515944,0.0028075999999999934,0.20724335171723832
TJX,2025-05-21,2025-06-06,16,0.24280542,0.22583783,-0.016967590000000005,0.23975594605326214
TJX,2025-05-21,2025-05-30,9,0.26526615,0.22901161,-0.036254539999999974,0.284139638508965
TJX,2025-05-21,2025-05-23,2,0.3554752,0.29053444,-0.06494075999999999,0.17193979705802392
TTE,2025-04-30,2025-06-20,51,0.30078825,0.2744213,-0.02636695,0.22556427341325727
TTE,2025-04-30,2025-05-16,16,0.34326828,0.28125718,-0.062011099999999986,0.2216771554200631
MU,2025-06-25,2025-07-25,30,0.5213671,0.4067442,-0.11462289999999997,
MU,2025-06-25,2025-07-18,23,0.5205126,0.40064076,-0.11987184000000001,
MU,2025-06-25,2025-07-11,16,0.591923,0.3894104,-0.2025126,
